Date,Close,High,Low,Open,Volume
2017-01-01,76.32233428955078,77.13935411154318,75.69330757772839,76.4163308446358,1383100
2017-01-08,74.65215301513672,75.91744374420684,74.42078578818452,75.79453111156376,1170100
2017-01-15,74.81123352050781,75.36073285962878,74.21835454174575,74.72446872499475,721400
2017-01-22,74.48585510253906,75.66438656704939,73.59653956649178,74.4424754713845,1127600
2017-01-29,73.7049789428711,74.29785768323525,72.08540317524769,74.0809485397877,1499600
2017-02-05,73.27840423583984,74.03758084396995,70.71890130551179,73.81343988864064,1664000
2017-02-12,71.86851501464844,73.748374436248,71.64437404718825,73.18441716139111,1032900
2017-02-19,70.6827621459961,72.74337752918763,70.35739833839939,72.58431151430437,1691900
2017-02-26,71.64437866210938,72.88075340275716,70.51646403974179,70.79121643376584,1770600
2017-03-05,69.57653045654297,71.9986572645357,68.44861042445235,71.48531141395208,1665500
2017-03-12,69.84402465820312,70.60320105775357,68.07985218917675,69.48251313769873,1663700
2017-03-19,68.07262420654297,70.12600710961225,67.96416964110405,69.55481821344706,1235100
2017-03-26,70.35697174072266,70.91715341118726,67.78888129804938,67.85435405021235,1388500
2017-04-02,70.6697998046875,71.90655546410392,69.4766926472397,70.32060068809882,1314200
2017-04-09,69.4912338256836,71.731949225048,69.33118748323132,71.09902380377112,694100
2017-04-16,67.84709930419922,69.76771153505524,67.45424604555761,69.47670850453318,1462800
2017-04-23,67.89802551269531,69.65130922537514,67.16324409762805,68.3490749443748,1724500
2017-04-30,67.35238647460938,68.0580669218496,65.64275153927441,67.83253669050848,2999900
2017-05-07,67.78887176513672,68.54547713611129,66.99588894779626,67.35237016084113,1487700
2017-05-14,68.15991973876953,68.9456206266474,66.69035708005346,68.74919679228309,1056000
2017-05-21,66.42845153808594,68.50184434711706,66.07197579372627,68.45819029138504,1188700
2017-05-28,64.82067108154297,66.24657970276061,64.52966807609799,66.10835757675027,1601000
2017-06-04,66.02833557128906,66.2465836756459,64.18774936081695,64.58787366068162,1974400
2017-06-11,65.99195861816406,67.18506602581279,64.68245333071648,66.48666209575654,1704700
2017-06-18,63.73670196533203,66.050167668889,63.08922307648189,65.91921657055855,1889900
2017-06-25,64.81925964355469,65.3319521174282,63.8304923936964,64.35051064231922,1574400
2017-07-02,63.815853118896484,66.4818656716923,63.04681426016497,65.09759013804563,1350200
2017-07-09,65.38322448730469,65.53703782474123,63.53752590528663,63.720631167261516,1198700
2017-07-16,65.10488891601562,66.62099985215104,64.70938098642452,65.26602239710026,1002600
2017-07-23,66.35734558105469,67.08976662629355,64.7753190290619,65.21477053861939,1138600
2017-07-30,65.49309539794922,66.82610161667174,64.89251030133642,66.34270658180276,1072100
2017-08-06,63.61076736450195,65.29533802234262,63.53752637675436,65.17082778437879,1481100
2017-08-13,61.97013854980469,63.99894217248564,61.398851088830575,63.72794999059863,2286600
2017-08-20,62.717220306396484,62.89300540358584,61.376893864889254,61.88958642853357,1117600
2017-08-27,63.39836120605469,63.566820498022786,61.80900894621727,62.76847868675831,1320900
2017-09-03,64.03558349609375,64.9804074815444,63.244567286702946,63.63274961503451,1168700
2017-09-10,66.51849365234375,66.89203003172629,64.16009647683609,64.26263499855988,1198200
2017-09-17,67.90274810791016,68.08585335216229,66.33536766414618,66.37199094816805,1435800
2017-09-24,68.53997039794922,69.16252723824229,67.77825175540448,68.16643405860147,1349300
2017-10-01,68.77069854736328,69.58586730790901,68.30382490022448,68.60766366448092,986000
2017-10-08,68.86702728271484,69.73407017044629,68.5335509886229,68.84479628362412,743200
2017-10-15,68.36310577392578,69.45246999006375,67.7332029490584,69.14863125054634,761400
2017-10-22,67.97776794433594,68.62248967141093,66.80688607480047,68.33347531364628,1128200
2017-10-29,69.54139709472656,69.84523584781407,67.1922271239348,67.1922271239348,1555300
2017-11-05,70.67522430419922,71.4385187643377,69.74889497803785,69.74889497803785,1378200
2017-11-12,68.37052154541016,70.74933475247705,67.71097546870934,70.4751392162609,1117900
2017-11-19,68.91889190673828,69.1486197371907,67.81470909260491,68.19264733227864,699800
2017-11-26,70.76414489746094,71.2532494720049,67.99256926997423,68.64470304883427,1592100
2017-12-03,70.14907836914062,71.85352114211939,69.15605027195629,70.81603104116446,932000
2017-12-10,69.51915740966797,71.09021389068441,69.44505219866625,70.2157588315876,1005200
2017-12-17,73.503662109375,73.77960120777176,70.1700433239268,70.18496202644441,1320000
2017-12-24,73.79450225830078,74.331461665535,73.57823231521414,73.57823231521414,750500
2017-12-31,76.65081024169922,76.74776470483707,73.73483079522163,74.06296816867366,1463900
2018-01-07,79.04476928710938,79.14917743578506,76.36743710492681,76.55388104039302,2105900
2018-01-14,77.93356323242188,79.53698217851648,77.3891444498624,79.1491756153685,2166100
2018-01-21,79.02239227294922,79.94715254526952,77.9410197868356,77.9410197868356,1153200
2018-01-28,73.70500183105469,78.91051218567824,73.34702704964994,78.61220650595976,1922100
2018-02-04,67.71641540527344,73.68261920521593,65.50146133417434,72.79514456923357,3193800
2018-02-11,69.4764404296875,70.18492479839065,67.7462360037394,68.61133821671345,1492800
2018-02-18,70.24461364746094,70.30427137804811,67.9401638202503,69.58832740264957,707500
2018-02-25,68.35779571533203,71.35581118908279,66.88861684097589,70.49070874313679,1730100
2018-03-04,69.81950378417969,69.92391189813586,67.98489675204426,68.08184551791344,1009800
2018-03-11,68.81270599365234,70.40121152197713,68.0371044456121,69.84933922016612,1397400
2018-03-18,68.68052673339844,70.99239720440026,67.64469134262916,69.02580519698819,1444100
2018-03-25,69.33353424072266,70.39939424657803,67.7422461747925,69.43861870740282,1205100
2018-04-01,69.15338134765625,70.98486321404172,66.71390999109389,69.05580455499629,1658100
2018-04-08,73.55944061279297,73.84466903519933,69.2884875854943,69.49115455738502,1154000
2018-04-15,75.58610534667969,76.56940418625038,73.27424066694684,73.6795690415776,1433700
2018-04-22,76.06649017333984,77.00474867099803,74.49772471405956,75.38344096491589,2135500
2018-04-29,76.25410461425781,76.92965154782695,74.69284758927566,76.01391078528574,793100
2018-05-06,79.24906158447266,79.71443410172917,75.0606745691141,76.88464919021057,1806900
2018-05-13,80.9454345703125,81.68103175411436,79.1815097354925,79.5042708885879,1374800
2018-05-20,77.13985443115234,82.40911710870678,76.26915356487598,81.41831641167498,1941900
2018-05-27,79.10641479492188,79.81198670372507,76.28413288638194,76.52432672583174,1370100
2018-06-03,79.45922088623047,80.1272603504563,77.635246487125,79.31660378937069,1037700
2018-06-10,76.99724578857422,80.19482658644785,76.90717091229278,79.37666793525739,1057400
2018-06-17,78.46842956542969,79.27908622191019,76.44178792422844,76.84711625246868,937700
2018-06-24,78.87374877929688,79.99215109316052,76.35170995724546,78.25074388047496,1521900
2018-07-01,79.11156463623047,79.83659594527084,77.61618359993447,78.68863114646607,891000
2018-07-08,79.58737182617188,81.66428659393037,78.62066332892296,79.61758218696555,909500
2018-07-15,78.12976837158203,79.15689776555523,77.20837813943496,78.900118298081,954800
2018-07-22,79.65534973144531,80.31996040910178,77.69927056739735,78.3638870070912,829300
2018-07-29,78.5753402709961,80.81085481557126,78.13729874050894,80.28973624440425,981100
2018-08-05,78.55269622802734,79.85926123206578,77.782346414353,78.74905493485335,786000
2018-08-12,75.6978988647461,78.65089172449872,74.66321537794745,78.37145014460869,1768200
2018-08-19,78.0013656616211,78.46206358207249,75.62990706882402,75.6374610995631,1007700
2018-08-26,77.85031127929688,79.00583009099059,77.5255571367524,78.24303440510025,1178900
2018-09-02,75.84138488769531,78.28081858863622,74.72363018095258,78.10711042854129,768000
2018-09-09,77.50289916992188,77.8654119303758,75.58458471290749,76.12080558585473,853900
2018-09-16,79.06627655029297,79.33061006353869,77.41229494135226,77.70683882211726,924300
2018-09-23,79.38347625732422,80.62207250748314,79.10403468109092,79.10403468109092,1018000
2018-09-30,81.17643737792969,81.97459157701063,80.22624966510554,80.2414501167371,973000
2018-10-07,76.82077026367188,82.51429891164548,75.68054506894339,80.63672716307494,1371000
2018-10-14,75.3156967163086,77.23887613932745,75.25488329752467,76.85119784393844,1072100
2018-10-21,69.71338653564453,75.33850017524655,68.56555790579444,75.27008362935484,2157000
2018-10-28,70.67877960205078,72.07745341296814,67.35692060189194,70.07826015079168,1542200
2018-11-04,71.37809753417969,73.61293494665746,70.1466522501314,71.44650826132867,957600
2018-11-11,69.77418518066406,72.07743928040426,67.04524303975272,71.88740173686814,1495800
2018-11-18,66.20148468017578,70.00223605598984,65.76819925531242,69.28769874098751,1272900
