Price,Close,High,Low,Open,Volume
Ticker,OIH,OIH,OIH,OIH,OIH
Date,,,,,
2017-01-01,599.9590454101562,601.8441028231957,576.4816215240005,581.4512803057704,999265
2017-01-08,581.9653930664062,603.2150019954147,581.2799319326961,593.9611459469969,1706270
2017-01-15,590.87646484375,594.1324965973595,580.4230653731673,583.679044829447,1127990
2017-01-22,585.0499877929688,600.4730984674618,570.8264733120911,583.3363088291362,1240250
2017-01-29,576.1389770507812,581.9654759632595,561.5727036209161,580.9372579675656,1083370
2017-02-05,566.713623046875,575.9674784824529,541.3511444005807,574.9392607013156,1229155
2017-02-12,554.2037353515625,578.1952394992261,552.4900564838723,565.8567830302535,879760
2017-02-19,549.576904296875,564.4858809801765,546.1495461217709,560.8871444368501,1116430
2017-02-26,548.891357421875,567.5705001773642,547.8631918697798,550.2623319868889,1081470
2017-03-05,521.3011474609375,550.9477718055712,509.3053950421537,546.4921961619854,1445520
2017-03-12,524.04296875,533.6395807207344,502.96473992096566,521.3011244417855,1469755
2017-03-19,508.7912902832031,526.0994588346232,508.10582913506767,520.7870434162402,1154110
2017-03-26,527.9844970703125,531.925937752175,500.051498694975,503.82161331901585,1402920
2017-04-02,526.7848510742188,540.4942814329354,519.7587575559112,529.1839909275288,1073010
2017-04-09,510.6763916015625,538.4380150169584,510.3336348493377,531.2405415989408,946570
2017-04-16,489.2553405761719,514.789146490033,485.6566043191226,511.1904102329837,1283090
2017-04-23,477.60235595703125,503.4788668966151,470.91896605081723,492.6827101666783,1264190
2017-04-30,474.5177001953125,478.80189765517866,451.55441226989615,477.4309753869544,2094965
2017-05-07,462.69329833984375,482.2292271436158,461.6650805507338,473.1467499840246,1371830
2017-05-14,479.6587829589844,481.88659722929094,459.09463318756093,476.40280303797647,1831190
2017-05-21,451.0403137207031,484.2856743872034,446.58473805878793,483.257456573326,1853620
2017-05-28,443.3287658691406,453.6108395827133,435.6171844352955,448.127046016542,1688000
2017-06-04,444.1856384277344,452.2398987248401,428.41976997376577,441.2723630729787,2093470
2017-06-11,437.15948486328125,456.00995220331254,429.27655169798436,449.49794119835934,1835660
2017-06-18,416.5953369140625,439.90137962273633,409.74062154664836,438.53040517085674,1568400
2017-06-25,424.821044921875,430.6475696401061,414.7103485368489,417.7949761937162,1663305
2017-07-02,411.79705810546875,441.7864136685191,404.9423422856479,428.76246930005897,1304630
2017-07-09,435.6171875,436.64540533805734,407.8555935077754,409.91200303522425,1571260
2017-07-16,428.762451171875,452.0684682846821,427.7342595315735,434.93170560834244,1486995
2017-07-23,428.4197082519531,441.1009211567454,420.0226924296804,432.18979645483756,1936575
2017-07-30,419.3372497558594,430.4761633537603,413.3393732031435,428.2483754044468,1450550
2017-08-06,389.51922607421875,419.3372290010001,388.49100825660616,416.5953584018087,1628320
2017-08-13,377.0093994140625,391.91840225206687,371.86836214932526,389.3478836196983,1365335
2017-08-20,381.1221923828125,382.8358713524271,372.3824453269778,376.15253383039664,932800
2017-08-27,385.5777893066406,387.4628467360511,373.4106574957197,381.4649700135034,965730
2017-09-03,394.31756591796875,405.6278321324019,390.0333682271984,390.3760988127265,1378135
2017-09-10,421.7364196777344,427.0488089807189,393.632067900848,394.8316379919305,1591815
2017-09-17,432.0184631347656,433.5607636923872,420.1940629812288,421.05090243516634,1071460
2017-09-24,446.7561340332031,450.18349201643497,435.7885727976615,436.8167645034313,1412760
2017-10-01,435.6171875,444.18560847025776,433.2180474094206,440.9295766001875,1004005
2017-10-08,429.6193542480469,444.69973587747927,426.0206437509562,437.67364095906134,1004860
2017-10-15,408.1983337402344,434.4176277451167,403.05729672549927,434.07489717386767,1584880
2017-10-22,405.6277770996094,409.91197420912926,393.9747557319825,407.51283428726373,1665320
2017-10-29,424.3069152832031,427.7342731573852,397.573513405117,397.573513405117,2036615
2017-11-05,441.78643798828125,448.1270713895916,426.70608327345434,428.4197623227453,2129075
2017-11-12,413.68206787109375,440.7582253374066,404.25683410631297,439.04454647108287,1520695
2017-11-19,415.22442626953125,419.1658931929976,408.3697102804301,412.6539077736183,761260
2017-11-26,435.27447509765625,435.95993625251646,406.99877100666674,412.99664763202816,2249565
2017-12-03,424.3069152832031,446.41336311221113,414.7103027760273,434.7603411102591,1587395
2017-12-10,418.48040771484375,438.35909462868005,417.7949465724355,424.4782842312484,1554825
2017-12-17,440.75830078125,444.18565910055264,408.3697489746391,409.7406975320939,2073835
2017-12-24,459.1615905761719,461.9817876871961,450.701026138492,454.4025045893943,1320250
2017-12-31,491.4175109863281,491.94632826708335,455.988958598219,459.8666830364617,1943910
2018-01-07,514.1552124023438,515.3890115766924,487.187149889423,491.4174183843569,2338985
2018-01-14,502.1694641113281,514.8603252873856,490.0074201955674,514.5077804471878,1691175
2018-01-21,506.2234802246094,520.5006308393936,502.5219748171226,506.7522436581989,1960850
2018-01-28,472.9099426269531,503.9320009770643,471.14732628650114,503.0506928068383,2895960
2018-02-04,420.207763671875,476.6114917832887,404.5204875490454,467.0933734226451,4467670
2018-02-11,429.72589111328125,435.54253071271603,415.4486872687952,426.02438585126123,2240400
2018-02-18,439.2440490722656,439.59656701136595,418.62144033785853,431.13602889137974,1533225
2018-02-25,423.90924072265625,447.17577163272165,409.27951934358606,442.240440374128,2075325
2018-03-04,441.3591613769531,445.06066678959826,419.8552454299602,420.560308168051,2329905
2018-03-11,432.36981201171875,446.2944709331292,420.56028740939195,440.65410378377527,2023795
2018-03-18,425.49560546875,448.2333740886995,418.0926216674101,430.78345488333457,1952250
2018-03-25,420.7365417480469,433.25112931643685,409.63205272045184,430.25468672686804,1202765
2018-04-01,421.265380859375,436.2476224380557,402.93417839185344,418.268937922718,1650050
2018-04-08,463.391845703125,466.7408061403901,419.32643523704644,424.26176658832566,2091945
2018-04-15,473.08624267578125,482.60436071249484,456.8702036701024,461.6292357930667,1847420
2018-04-22,479.7842712402344,484.7195763191677,466.03582916470697,471.49995151046306,1271195
2018-04-29,479.4317321777344,484.1908186825801,467.4459603896077,478.9029686953256,1257395
2018-05-06,494.23760986328125,504.10827210317814,471.323597494955,483.6619118471306,2065995
2018-05-13,516.0941162109375,526.141052293665,493.18010053315646,496.1765702534898,1420390
2018-05-20,477.6690979003906,526.4935991651967,472.0287032723358,518.9143155218236,1673455
2018-05-27,476.96405029296875,490.71243789849945,468.5034585588982,470.9711647672449,1403380
2018-06-03,477.1402587890625,489.6547916139792,466.21201610137564,477.6690221681391,1674785
2018-06-10,454.5788269042969,478.550424293744,450.52483009326323,474.8489185410484,1676570
2018-06-17,461.45306396484375,469.91365701208565,444.3557130110282,452.11121629456903,1523635
2018-06-24,463.0393981933594,475.5539329087561,445.0606875179045,459.6903836506922,2236885
2018-07-01,461.1004638671875,462.6868078789012,447.70456838567964,459.1615750569667,1204380
2018-07-08,463.74444580078125,483.8382646111746,457.57528759991015,465.1545175875212,1646205
2018-07-15,449.11468505859375,459.3378660347728,446.8232782525788,457.2227047397479,1247295
2018-07-22,452.11114501953125,456.51768639399063,432.8986353850461,447.35208571419395,1967410
2018-07-29,449.46722412109375,465.15450079304475,444.884410293466,457.7515434937588,1613320
2018-08-05,449.11468505859375,458.45655779364347,441.0066384820465,451.05354705184243,1262710
2018-08-12,423.3804931640625,448.2333974670091,411.74723998246174,448.0571250525054,1705220
2018-08-19,442.593017578125,445.7657057881181,423.0279635077348,423.9092717650426,1054070
2018-08-26,435.5425109863281,449.6434417909634,432.0172782851693,443.1217397775067,968540
2018-09-02,408.92706298828125,437.12892940126613,400.6427701085461,436.4238934990998,1461835
2018-09-09,426.7294616699219,429.5496319079806,407.8694437688247,412.0997394690025,1519325
2018-09-16,441.3591613769531,443.65056820880994,421.9703798534459,428.66832794064527,1347570
2018-09-23,444.00311279296875,454.9313572787845,439.949116110922,447.8808908468492,1685430
2018-09-30,451.75860595703125,457.9277639599837,443.2980679264406,445.5894748494733,1633530
2018-10-07,427.08197021484375,464.09688868284815,420.3840223414363,445.4131704937976,2533015
2018-10-14,409.808349609375,433.95619106749376,409.808349609375,429.02085932752783,1836355
2018-10-21,372.61712646484375,410.1608642131275,360.80760100478295,408.9270380119977,2664430
2018-10-28,364.6853332519531,375.2610319666011,354.28590694070635,374.5559961437816,2095285
2018-11-04,358.69244384765625,381.4301850582205,351.28946021366266,368.5631066232425,1866695
2018-11-11,340.3612365722656,362.9227049079491,327.8466494118294,362.9227049079491,3367025
2018-11-18,320.61993408203125,344.4152570910612,318.1522817133264,337.5410634243878,1706465
2018-11-25,318.6810607910156,330.8431035856371,316.3896540179353,325.379008706407,1829365
2018-12-02,297.7059326171875,331.5481928120507,295.4145525563101,330.3143396772461,2800200
2018-12-09,276.0257263183594,298.2346758009115,275.4969360435721,293.12309923387875,2715355
2018-12-16,240.59713745117188,281.3135868549115,238.12948526111143,275.8494652828454,3504975
