Price,Close,High,Low,Open,Volume
Ticker,XOP,XOP,XOP,XOP,XOP
Date,,,,,
2017-01-01,139.6766815185547,142.68622646216218,137.63687160607088,140.84705798171092,11107150
2017-01-08,135.3295440673828,138.67349118834687,134.99514170159884,138.20534063239526,15400725
2017-01-15,137.53651428222656,138.8072046861819,135.69734637659204,137.2689924564616,11147825
2017-01-22,138.10499572753906,140.8804776028219,135.4298409271211,136.63366377634526,11922775
2017-01-29,136.03176879882812,137.33590612445127,131.45056485195698,137.33590612445127,15551600
2017-02-05,134.92825317382812,136.96806283683205,127.605014008294,136.29927090133393,17687475
2017-02-12,131.48397827148438,135.36295578714635,130.8151864054439,134.25946005090188,12889775
2017-02-19,126.63529968261719,133.8582264242691,126.10026854457439,133.1225665820531,14410000
2017-02-26,126.60186767578125,130.28020520930372,125.99995604212866,127.17033268748162,13667825
2017-03-05,120.74993133544922,128.14005133519743,117.94101527252127,126.70215306749944,22873600
2017-03-12,121.85340118408203,124.16073234432652,117.03812300137963,120.51583028918068,22714825
2017-03-19,117.97906494140625,122.70358831234168,117.37593321047781,120.65964331108488,19712450
2017-03-26,125.45124053955078,126.32243689984597,115.80115396251658,116.03570387905486,24712575
2017-04-02,124.71406555175781,129.47209185259297,122.9046698674926,125.28368301791016,27275050
2017-04-09,121.7319564819336,128.39989815939484,121.36337435043322,125.78633436441136,16465225
2017-04-16,117.64405822753906,122.63663562420624,116.3707780507596,121.86596974358018,23455300
2017-04-23,117.10794830322266,123.10575460085741,116.10273244119766,118.7833123339354,18290275
2017-04-30,116.70584869384766,122.26805601050519,110.60751268930848,116.70584869384766,24704575
2017-05-07,118.2471694946289,120.45864900153451,115.96867390787642,116.80635573294688,17553875
2017-05-14,119.017822265625,121.56436911215359,114.66187980650541,121.36333367653829,18892675
2017-05-21,113.6901626586914,119.98953269435657,112.48389895164823,119.98953269435657,21904575
2017-05-28,108.29549407958984,112.78546870711035,107.18975444093208,112.61793491589124,20076425
2017-06-04,109.26720428466797,111.00958377510403,105.11230377047724,107.65885693549819,29519675
2017-06-11,106.05052185058594,112.85250083227798,104.44217421849302,110.67452289060444,30590000
2017-06-18,104.18499755859375,107.2413589538826,100.42331854572481,106.80473223678626,30876075
2017-06-25,107.2077865600586,108.3833118139076,103.61404286870955,104.78956812255855,22524675
2017-07-02,102.97591400146484,110.09622805167479,100.49052087781813,108.08104893948966,19062900
2017-07-09,107.17420196533203,108.14821064096603,102.2034162991861,102.97590196228363,17091175
2017-07-16,106.30094146728516,110.7343510957373,105.09183557415876,106.87191045235195,21599600
2017-07-23,110.29773712158203,112.64878766289935,105.5620552766148,106.90550998332583,20226525
2017-07-30,105.02466583251953,110.33130994044384,102.13623361647488,110.06262542454334,23519375
2017-08-06,102.20341491699219,104.89032432016658,101.16223832402429,104.48729111273909,19317425
2017-08-13,98.94551086425781,102.94229343147555,97.33336553509466,102.53926030223279,16723000
2017-08-20,99.95314025878906,100.49052221667786,97.26622406324685,98.60968536406709,12021525
2017-08-27,102.80795288085938,103.11023093580972,97.40054146018782,100.02028246772544,12863725
2017-09-03,100.38973236083984,104.68879321657663,99.18062649992673,103.78195901631945,12691025
2017-09-10,106.90550994873047,108.58483633919751,100.35615944724975,100.59126962618328,22932750
2017-09-17,111.21737670898438,111.75595911848575,106.70674421410372,106.77406219998483,18798025
2017-09-24,114.75184631347656,116.77152752152834,112.02526512586869,112.19358259388963,21038050
2017-10-01,113.0351333618164,116.1319799981733,111.92429956345688,112.76583565040018,11558925
2017-10-08,113.1024169921875,115.15576659131352,111.58766268276395,113.37171463703874,11135775
2017-10-15,112.09256744384766,114.48252606501026,110.88075382161945,113.80930768894342,11847575
2017-10-22,112.3282241821289,112.66484629410571,106.60578310713956,112.46287302691962,17985700
2017-10-29,118.9931869506836,119.93571601580399,108.49082111721724,108.49082111721724,21670075
2017-11-05,122.8305892944336,124.17703907028711,119.59908158258301,119.80105482732966,23553600
2017-11-12,117.8150405883789,123.23453450997559,113.94396983271831,122.69595198091868,19706800
2017-11-19,118.8922348022461,119.90207568676693,114.95385150036775,116.83888439392038,12368725
2017-11-26,122.62861633300781,124.31168818732763,115.2567662337819,118.15163903692387,23373275
2017-12-03,118.82486724853516,124.27801631891472,115.79534569424378,121.85440164364539,15880875
2017-12-10,114.71817779541016,121.18116721670837,114.61718475763963,120.64258476493352,18075275
2017-12-17,124.1755599975586,125.35593090691488,115.5082282772052,115.64313148543965,17761375
2017-12-24,125.38964080810547,127.54804029510743,124.31044106460449,124.71513775214842,14841900
2017-12-31,129.9761962890625,131.15656653536698,126.43507268507827,126.80603700172338,15853775
2018-01-07,133.9557647705078,134.4616322805191,128.79582868590066,129.84130879070642,16254650
2018-01-14,130.58328247070312,134.63027460696645,129.4366312680754,133.9557844943054,14005750
2018-01-21,131.72988891601562,135.57453785822997,130.51578654161744,130.58323810298066,17896325
2018-01-28,119.75750732421875,131.4263708028152,119.28535923287284,130.27971992451626,33496250
2018-02-04,109.2353286743164,120.46576557940591,104.48010176276476,118.34108589315893,36043225
2018-02-11,114.39525604248047,116.31759392386986,108.93180667321816,110.58433823263238,20102925
2018-02-18,116.8234634399414,116.85719566329101,111.2925623973919,114.73251586984742,14740050
2018-02-25,115.1371841430664,118.2736111584283,110.65176442259364,117.3630343283164,17617700
2018-03-04,117.26187896728516,118.27362684658715,113.72075495719204,114.46269654064162,14967025
2018-03-11,116.08149719238281,118.67832493006324,114.0917336280675,117.1944288792769,14711625
2018-03-18,117.24958038330078,120.7636918606142,112.55284143269571,115.66146958516107,20440575
2018-03-25,119.00666046142578,119.88518206559468,115.25602272236648,118.46602880739675,14067250
2018-04-01,117.11441802978516,121.27052539274193,112.68798845313727,118.06051999835896,22530650
2018-04-08,126.30511474609375,127.25121632280087,117.18195004751117,118.26321267508138,23301575
2018-04-15,131.3060302734375,133.7388789764139,125.19012467942152,126.13623966928701,28158275
2018-04-22,131.54248046875,134.17805646122352,129.24479420722597,130.25847628974137,24154600
2018-04-29,133.84024047851562,134.82013928374377,130.12338694168707,131.13708247243292,22673925
2018-05-06,139.4492950439453,142.15245298933857,131.13707952823336,135.1580261664012,33351950
2018-05-13,145.8354949951172,147.4911863199615,139.5168615188451,140.02369633199726,19868600
2018-05-20,138.13145446777344,151.20798497860346,135.32692029118505,146.98429824735754,33118650
2018-05-27,142.42279052734375,146.03826708448472,136.44204568028596,136.47582951900006,20640950
2018-06-03,142.0510711669922,143.84191066929372,137.25295512410742,142.92959255783666,19342575
2018-06-10,136.57717895507812,144.382559589381,136.2055052112603,141.34151174109945,20143350
2018-06-17,144.1549072265625,145.8811049364222,136.60699983105567,137.01316171955438,23435150
2018-06-24,145.74575805664062,148.4873675419227,139.5855809380783,144.12109723641439,23442225
2018-07-01,146.9303436279297,147.33650544223028,141.68404274507188,144.45950548081993,11513325
2018-07-08,146.18572998046875,153.83518755275867,144.25644486525707,147.74270756200315,21380400
2018-07-15,143.8502960205078,145.27186921888085,140.05942124652483,143.88413746785508,19636600
2018-07-22,143.0041046142578,146.99806643878358,142.56408836941247,144.29029899291535,13927450
2018-07-29,142.15798950195312,146.3211862165398,140.90564892398626,144.8319166890024,16842925
2018-08-05,141.17640686035156,145.27190738300098,139.14558378297482,142.97031392074786,15277400
2018-08-12,134.37313842773438,141.3117990313744,131.25919506435795,140.60101224282894,25420100
2018-08-19,142.3272247314453,143.51188240852005,134.10236846967834,134.3054559630322,14924000
2018-08-26,143.3087615966797,144.52726045018943,140.6348349916618,142.90259961606196,14398250
2018-09-02,135.21926879882812,144.73030278989685,133.3915209251399,144.45953250026918,12707725
2018-09-09,139.89016723632812,141.2440444255932,134.61001133673153,136.09928011841896,15687275
2018-09-16,143.81643676757812,144.42567312598496,139.21322579897006,140.46556578224767,13142825
2018-09-23,146.73666381835938,149.4144669208387,144.94015629207098,146.36380352176414,17439000
2018-09-30,147.95693969726562,151.88889895208112,145.99095360466984,147.7874483283083,17622550
2018-10-07,139.55072021484375,150.63478480749174,136.46616496223876,146.63503013747024,24116150
2018-10-14,135.5848388671875,142.29628683946794,135.00860950858333,140.26251942861128,19298000
2018-10-21,121.7551498413086,135.88987262077427,118.87397787980858,135.65260024419777,27231775
2018-10-28,122.6364517211914,126.05996220633288,115.31487309292807,122.19579750396807,29365600
2018-11-04,123.34831237792969,129.82248829911435,119.92480068363983,124.53468754633484,26861300
2018-11-11,117.78932189941406,125.3481746739758,114.73865803058774,124.80583586733748,33724575
2018-11-18,110.16268920898438,117.89102142192424,109.51866583469896,116.60297467335342,25426775
2018-11-25,111.21349334716797,113.95907866638164,108.53568908365524,111.68803831935894,26410550
2018-12-02,106.90864562988281,115.41658834704006,104.29863600133592,114.80645555437313,25977250
2018-12-09,98.60408020019531,106.63747874017962,98.19732281574036,105.58669798935583,34382925
2018-12-16,85.92691040039062,99.51929403698205,85.35067445940629,98.19733719284726,40789375
2018-12-23,89.61162567138672,92.3641993014967,81.18398234594325,84.99001544275296,23516375
2018-12-30,97.29163360595703,97.39358316581038,87.09691095930587,90.69905096122962,21503575
2019-01-06,103.30651092529297,104.66580584240944,97.25764692371733,98.31109967427892,30966650
2019-01-13,107.41838836669922,107.4523715507879,101.77730944057033,101.94721887938412,22905850
2019-01-20,103.748291015625,106.12705561919765,99.97624176045912,106.02511254633139,21067925
2019-01-27,104.32597351074219,106.39889556121634,100.58790810985947,101.50543449111431,21052275
2019-02-03,96.3741226196289,105.20954456473049,94.47110287861346,103.37449768501718,21418750
2019-02-10,105.345458984375,105.37944216829455,95.08277077933833,95.55852887258234,25088825
2019-02-17,104.08809661865234,106.60280012229713,102.66083544598075,104.63182102495341,17146600
2019-02-24,103.34049987792969,104.9036939811089,100.58792670688887,103.44244943301631,20776675
2019-03-03,95.3546371459961,104.97165856382328,94.57304330026885,104.2920142777418,23702350
2019-03-10,101.1656265258789,102.93271323378947,95.35463159684254,96.06826550957284,22761775
2019-03-17,102.39945983886719,107.47514761109758,101.47970913324586,101.92255158429408,31051625
2019-03-24,104.71588897705078,107.10044339219716,100.42369492822013,101.82036047219819,24806950
2019-03-31,108.36085510253906,108.46305252829039,102.16102088284144,105.97630697817232,29130375
2019-04-07,110.5750732421875,112.10800203838308,106.24881980132433,109.04214444599192,34395725
2019-04-14,108.36085510253906,111.01792969557602,108.19053255700881,110.09817235597993,18352825
2019-04-21,106.55541229248047,113.43654316347758,105.29500336960245,110.37069837217004,34695225
2019-04-28,100.90060424804688,107.61141165701959,98.24353002905572,106.691654446901,29973675
2019-05-05,101.47972106933594,102.9785776164012,98.78858075082562,99.36768648408807,27461975
2019-05-12,100.45774841308594,103.45547396717518,97.66441766772135,100.62807742035649,24688025
2019-05-19,92.38436126708984,101.99069838057675,91.02175491271524,100.25338112639889,29084625
2019-05-26,87.24053192138672,92.96345721457809,86.62736042606079,92.62280566190947,22095175
2019-06-02,88.02404022216797,90.81737171184072,86.08233450360954,87.92184279057422,28393275
2019-06-09,85.02629852294922,89.8294729827091,84.44719934060628,88.36467588119079,27914100
2019-06-16,90.98766326904297,92.31620343759312,84.00433692397048,84.54937671200605,34482350
2019-06-23,93.14793395996094,93.1821174704002,88.77254242130552,91.47298106746513,24337500
2019-06-30,90.6183853149414,95.64324246470218,88.84088243154886,95.40396448421394,17128375
2019-07-07,91.19950103759766,92.25916356730094,87.95213992161568,89.93473748678795,22085625
2019-07-14,84.63642120361328,91.57551617818197,82.92728508848337,91.30204814071779,33053850
2019-07-21,82.75637817382812,87.50778161647335,82.0385440429742,85.1149881406182,28071425
2019-07-28,79.30390930175781,87.9863163856806,78.14169635448559,82.82472512452124,43318825
2019-08-04,76.19330596923828,77.76570837162576,71.98882535275033,77.25296874127498,47811900
