Date,Close,High,Low,Open,Volume
2017-01-03,24.04059600830078,24.14980928370417,23.808517472587347,23.924555438519125,261100
2017-01-04,24.047426223754883,24.10203417592776,23.951864911302824,24.074730199841323,256400
2017-01-05,24.08155059814453,24.183939188287326,23.9996412883403,24.06789861253549,276800
2017-01-06,24.013296127319336,24.06790147239394,23.917734820551033,24.047424793472253,67700
2017-01-09,23.692481994628906,23.8153472813443,23.66517801894761,23.79487060150855,2052100
2017-01-10,23.501358032226562,23.73343660458076,23.501358032226562,23.651527286058776,175800
2017-01-11,23.79486846923828,23.808520455855568,23.53548593121024,23.53548593121024,135600
2017-01-12,23.75391387939453,23.95868848276381,23.699308533626223,23.95868848276381,149800
2017-01-13,23.75391387939453,23.79486984160853,23.692481237998713,23.76074117502204,235900
2017-01-17,23.82900047302246,23.897257811823614,23.719787168630273,23.719787168630273,112700
2017-01-18,23.69930648803711,23.801692478959197,23.637873851943805,23.753911829092196,80200
2017-01-19,23.521833419799805,23.658350679076644,23.426272119461057,23.658350679076644,72700
2017-01-20,23.637874603271484,23.774391866023585,23.57644196522555,23.651526589931716,215000
2017-01-23,23.47405433654785,23.59009492602655,23.351189055382324,23.59009492602655,146900
2017-01-24,23.69930648803711,23.774391110356717,23.49452929849268,23.49452929849268,122700
2017-01-25,23.80852508544922,23.904086406502024,23.71296376439641,23.71296376439641,338100
2017-01-26,23.740259170532227,23.869951734084108,23.692478522018394,23.828995776565083,84200
2017-01-27,23.521833419799805,23.62422201521997,23.467228078399156,23.61739472013855,54100
2017-01-30,23.098630905151367,23.385314789358304,22.99624231573461,23.385314789358304,119000
2017-01-31,23.13276481628418,23.201024759334867,22.98942284165361,23.14641680489432,237300
2017-02-01,23.016727447509766,23.276107426634844,22.880210161530396,23.276107426634844,143600
2017-02-02,23.119112014770508,23.146415991030732,22.941641376780026,23.06450666610055,203000
2017-02-03,23.303407669067383,23.371667603040336,23.132761739910357,23.207846365355486,103000
2017-02-06,23.064502716064453,23.282929281037447,23.030374053509306,23.282929281037447,1263900
2017-02-07,22.736865997314453,22.96894458001472,22.661781367051073,22.96894458001472,114000
2017-02-08,22.76416778564453,22.770995081530074,22.409226515109808,22.648129794094803,243300
2017-02-09,22.962116241455078,23.030376176708387,22.764166334995913,22.764166334995913,450300
2017-02-10,23.15323829650879,23.255626895005054,23.11228494019046,23.11228494019046,111900
2017-02-13,23.241971969604492,23.248799264027795,23.132758693480664,23.187366633467526,192800
2017-02-14,23.276105880737305,23.276105880737305,23.04402729114122,23.276105880737305,168700
2017-02-15,23.20784568786621,23.262453633450445,23.13276106461297,23.20784568786621,269100
2017-02-16,23.003070831298828,23.276102744484643,22.975766858825207,23.25562606705449,151700
2017-02-17,22.82559585571289,22.8597271206007,22.76416322430474,22.82559585571289,497100
2017-02-21,23.016727447509766,23.098636777557125,22.968946787994582,22.982596173126932,372900
2017-02-22,22.709562301635742,22.880208243844745,22.695910313796972,22.87338094800014,119600
2017-02-23,22.811948776245117,22.968945337711393,22.7300394513696,22.968945337711393,149000
2017-02-24,22.545740127563477,22.689084692071535,22.477482795017035,22.64130143466863,89600
2017-02-27,22.682262420654297,22.723218391564156,22.53892042824615,22.53892042824615,328900
2017-02-28,22.6003475189209,22.695908823667665,22.559391558093598,22.6003475189209,223200
2017-03-01,22.948461532592773,23.023546150540827,22.77781562047446,22.77781562047446,675800
2017-03-02,22.784643173217773,22.94163710168304,22.777815878499716,22.83242382084416,124500
2017-03-03,22.80512237548828,22.893858989701158,22.770993709668037,22.791470388390124,164700
2017-03-06,22.832427978515625,22.852904658698492,22.689086009534613,22.723214677789546,172800
2017-03-07,22.709562301635742,22.914336911516457,22.689085621802803,22.880208243844745,147700
2017-03-08,22.163496017456055,22.675433848936432,22.156668721546723,22.62082589706364,313600
2017-03-09,22.26588249206543,22.28636177637582,21.9723712541715,22.054283183712027,328700
2017-03-10,22.375093460083008,22.504786033067298,22.238578799457805,22.47065476406075,184900
2017-03-13,22.38874626159668,22.45017890265353,22.32048892880033,22.354617595198505,111900
2017-03-14,22.061105728149414,22.17031901972044,21.938240449650728,22.156667032792782,203300
2017-03-15,22.57987403869629,22.60035072008517,22.177149480327625,22.231754831981515,266700
2017-03-16,22.55939483642578,22.68226013291221,22.484310199256228,22.675435440374358,394200
2017-03-17,22.53891372680664,22.65495170410693,22.532086431759488,22.607171054177385,88200
2017-03-20,22.477481842041016,22.504785815442123,22.354616565586266,22.450177868639912,141700
2017-03-21,22.354618072509766,22.63447730911083,22.293185430141218,22.566219974857066,151200
2017-03-22,22.381921768188477,22.429702422339385,22.2044485351848,22.259056484986044,179800
2017-03-23,22.300006866455078,22.45017610451067,22.252226218682846,22.252226218682846,176300
2017-03-24,22.224925994873047,22.327311986574724,22.211274008542794,22.293183322674164,180500
2017-03-27,22.21809959411621,22.24540356787577,22.033801677014573,22.033801677014573,187200
2017-03-28,22.463829040527344,22.49795770411569,22.218098496531034,22.272706441352494,89600
2017-03-29,22.695907592773438,22.723211565177497,22.395571707879174,22.402396399055124,111300
2017-03-30,22.73003578186035,22.873377728214184,22.695907118992782,22.81194509351253,185000
2017-03-31,22.661781311035156,22.743690633006196,22.579871989064117,22.654954015291505,227700
2017-04-03,22.593523025512695,22.695911638353774,22.40240039231664,22.675434957325795,252900
2017-04-04,22.777816772460938,22.777816772460938,22.470653594343222,22.60717085171222,213500
2017-04-05,22.682262420654297,23.119115694955834,22.675437727428108,22.93481773163783,76200
2017-04-06,22.859729766845703,22.934811788280562,22.77781784625275,22.77781784625275,72100
2017-04-07,22.873380661010742,22.9825939585002,22.83925199376724,22.921163919772134,52600
2017-04-10,22.989421844482422,23.071331168739828,22.91433721230877,22.91433721230877,47000
2017-04-11,23.016727447509766,23.02355214007594,22.791473535066206,23.02355214007594,144800
2017-04-12,22.948461532592773,23.13275943014255,22.87337691464472,22.996242179677903,432100
2017-04-13,22.545740127563477,22.893859293561192,22.511611461290258,22.887031997996353,79800
2017-04-17,22.654953002929688,22.675432285395107,22.545739710565154,22.641301015902837,84300
2017-04-18,22.42970085144043,22.62082345465849,22.35461622764757,22.48430619356694,75800
2017-04-19,22.067935943603516,22.47748519022452,22.026979977401172,22.45018121275629,676700
2017-04-20,22.163496017456055,22.28636130531938,22.115715361492587,22.122540053551457,182800
2017-04-21,22.08840560913086,22.129358958475123,21.97236504367262,22.08840560913086,225200
2017-04-24,22.313663482666016,22.4160520941973,22.259058132673072,22.313663482666016,143400
2017-04-25,22.491132736206055,22.525261399374482,22.34096349364486,22.3477907885886,141000
2017-04-26,22.38874626159668,22.648128813153413,22.361442286938004,22.395573557186516,284200
2017-04-27,22.156665802001953,22.279531073675543,21.965543203331983,22.279531073675543,137300
2017-04-28,22.177146911621094,22.279532910557094,22.14984293703136,22.265880923262227,155800
2017-05-01,22.129364013671875,22.190796655571628,22.08158335928878,22.163495284388695,58100
2017-05-02,22.08840560913086,22.238574833659243,22.013320996866664,22.16349022139505,119200
2017-05-03,22.10888671875,22.177146654432722,21.986021438371402,22.04062938691758,93200
2017-05-04,21.822200775146484,22.020149374364177,21.719813478866634,21.99967269626327,561400
2017-05-05,22.245403289794922,22.245403289794922,21.835852801997056,21.842678795351617,191800
2017-05-08,22.33414077758789,22.34779276483254,22.183971521747036,22.218100187933505,151200
2017-05-09,22.21127700805664,22.36827096628052,22.122540386851664,22.36827096628052,193200
2017-05-10,22.457006454467773,22.55256776301311,22.334141170952236,22.375094529557167,298600
2017-05-11,22.40239906311035,22.52526434968942,22.37509508745935,22.52526434968942,721700
2017-05-12,22.409225463867188,22.470655500852615,22.327313540185955,22.409225463867188,103400
2017-05-15,22.6003475189209,22.811946806902952,22.55256686654751,22.736864784494966,159900
2017-05-16,22.593523025512695,22.74369229665279,22.552569663456733,22.74369229665279,88500
2017-05-17,22.375093460083008,22.613999323877607,22.368268768591847,22.53208740288219,61200
2017-05-18,22.27953338623047,22.3887466830708,22.149843409935823,22.24540471918981,69300
2017-05-19,22.58669662475586,22.62765258756467,22.422875377371014,22.422875377371014,118100
2017-05-22,22.593523025512695,22.702736330746237,22.511613697550185,22.702736330746237,102400
2017-05-23,22.57987403869629,22.648131379226314,22.53209077570451,22.648131379226314,41900
2017-05-24,22.53891372680664,22.634475026665733,22.44335242694755,22.573042390492013,52100
2017-05-25,22.177146911621094,22.58669611506576,22.122538962441627,22.457006141540027,137900
2017-05-26,22.143014907836914,22.1839708683646,22.088409564316915,22.17031888152204,45200
2017-05-30,21.972370147705078,22.129364098976207,21.9587181601358,22.088410740118757,250500
2017-05-31,21.842679977416992,21.910937310806275,21.774421342102528,21.86998395231285,78900
2017-06-01,21.98602294921875,22.040630901517506,21.815377004060856,21.86315766039703,48000
2017-06-02,21.774423599243164,21.88363820822262,21.67886228105212,21.88363820822262,62100
2017-06-05,21.808551788330078,21.856332443519047,21.70616318215348,21.747119145394205,57500
2017-06-06,21.999671936035156,22.006499231066343,21.740290707627796,21.74711670073392,156300
2017-06-07,21.665205001831055,21.99967083575287,21.562817714210087,21.94506549748502,75200
2017-06-08,21.59695053100586,21.726641814636213,21.57647385069729,21.59695053100586,69000
2017-06-09,21.972370147705078,21.979197443414908,21.61742758438017,21.61742758438017,126700
2017-06-12,22.081586837768555,22.23858341701632,22.081586837768555,22.115718113862023,183000
2017-06-13,22.23175621032715,22.245408200049688,22.06793754135825,22.12936758933349,90200
2017-06-14,21.83585548400879,22.231754033724183,21.774422838197324,22.231754033724183,144300
2017-06-15,21.637907028198242,21.733468343791614,21.576474381909566,21.65155771476495,50400
2017-06-16,21.95871925354004,21.972371241789098,21.67886130598583,21.75394593943041,56400
2017-06-19,21.897289276123047,22.006502578583863,21.856333311256293,21.992850590294942,67400
2017-06-20,21.491329193115234,21.630117773370465,21.352541936445995,21.630117773370465,232300
