Date,Close,High,Low,Open,Volume
2017-01-01,210.3933563232422,211.2803435029644,199.8382142982878,202.05568224759335,312040
2017-01-08,204.09580993652344,211.72389359729277,203.65231622830356,208.61943763975373,289940
2017-01-15,206.31324768066406,208.35330760646684,202.4104955102917,206.13583939637522,266690
2017-01-22,203.9183807373047,211.98997081383175,198.95125983466323,204.53928269269332,247490
2017-01-29,204.53924560546875,204.80533092741422,194.07279435452938,202.23307356337446,375550
2017-02-05,199.30604553222656,204.62796938373785,189.01700087324946,204.62796938373785,358860
2017-02-12,193.09718322753906,204.27323155709928,192.12150506185088,198.68520739231917,222790
2017-02-19,189.8152618408203,197.5320478162639,188.83957050173004,195.4919745382074,169550
2017-02-26,188.4847869873047,196.82246156264972,187.8638986311579,190.52486032980218,226450
2017-03-05,173.93824768066406,189.1944294051601,169.32590202509263,187.5091450973614,685990
2017-03-12,173.76084899902344,177.39750322895927,165.51187592636117,173.76084899902344,481490
2017-03-19,168.3695526123047,173.96409951113762,167.30391172663485,172.72086987810513,519140
2017-03-26,178.4042510986328,178.93707162030725,164.8174768480111,166.8599238973227,298890
2017-04-02,177.07220458984375,183.02198377034756,174.40812921356613,178.4930502106004,364050
2017-04-09,170.3232421875,181.95636459521074,170.05683190789355,178.137866938214,274260
2017-04-16,162.0645751953125,171.56644072960296,160.377332983217,170.6784156600396,390400
2017-04-23,157.6244659423828,168.81358838146684,156.11482588001462,163.5742318059449,332270
2017-04-30,154.78282165527344,157.53569211798828,145.6361578142201,157.35808975752144,414780
2017-05-07,152.20751953125,159.8445419558848,151.49711018493116,154.60519850074004,273180
2017-05-14,157.89089965820312,158.95652729877128,149.1882490848803,157.2692846637209,193940
2017-05-21,144.83694458007812,160.3773886959581,143.5049065130027,159.6669656834795,246820
2017-05-28,142.97207641601562,147.14579270694185,138.70955217307758,145.19213971440095,157080
2017-06-04,143.32723999023438,146.70173794537203,137.02227016239627,141.8176000906217,352800
2017-06-11,140.8407745361328,149.6322168729874,138.26549383075877,145.1032838205553,420920
2017-06-18,132.94659423828125,142.10612819396758,129.033790203453,141.57255783955563,454160
2017-06-25,137.57093811035156,141.03912123067465,131.70172705708603,133.48027832824576,315450
2017-07-02,131.16810607910156,144.6850878561121,128.94491784047273,138.9937313929279,205870
2017-07-09,141.03907775878906,141.5726348341193,129.38956509566566,129.92313574026107,225300
2017-07-16,138.46017456054688,148.33113674962647,137.74875153956776,140.5944436234842,272620
2017-07-23,137.83767700195312,143.52903372142464,135.08091803420817,139.5272947116905,283450
2017-07-30,135.52554321289062,138.726939553366,131.07916694515453,137.74873134675866,212750
2017-08-06,122.8978500366211,134.81414780811025,121.83072233585347,134.36951013535165,228890
2017-08-13,117.11754608154297,123.25355336272303,114.98329093894495,123.07568745978713,219670
2017-08-20,119.87432861328125,120.23003335144853,114.71652849425978,116.85078406179544,275040
2017-08-27,122.54209899902344,122.8088842156733,116.93966372641546,119.87427397104437,185960
2017-09-03,124.76533508300781,129.30063125422632,123.43142204983795,124.32069740528452,125790
2017-09-10,134.63629150390625,138.99374914985748,124.49855726833398,124.76534260490502,244600
2017-09-17,141.49351501464844,143.20476138304647,135.999490370063,136.08956175491085,221690
