Date,Last Price
8/27/2021,604
8/26/2021,604
8/25/2021,603
8/24/2021,605
8/23/2021,607
8/20/2021,610
8/19/2021,608
8/18/2021,607
8/17/2021,608
8/16/2021,610
8/13/2021,613
8/12/2021,609
8/11/2021,608
8/10/2021,608
8/9/2021,608
8/6/2021,609
8/5/2021,607
8/4/2021,607
8/3/2021,604
8/2/2021,605
7/30/2021,604
7/29/2021,604
7/28/2021,598
7/27/2021,594
7/26/2021,592
7/23/2021,593
7/22/2021,593
7/21/2021,591
7/20/2021,590
7/19/2021,590
7/16/2021,589
7/15/2021,585
7/14/2021,580
7/13/2021,582
7/12/2021,583
7/9/2021,586
7/8/2021,588
7/7/2021,588
7/6/2021,591
7/5/2021,586
7/2/2021,590
7/1/2021,592
6/30/2021,598
6/29/2021,605
6/28/2021,614
6/25/2021,624
6/24/2021,624
6/23/2021,621
6/22/2021,615
6/21/2021,604
6/18/2021,592
6/17/2021,588
6/16/2021,586
6/15/2021,583
6/14/2021,582
6/11/2021,581
6/10/2021,580
6/9/2021,581
6/8/2021,579
6/7/2021,583
6/4/2021,585
6/3/2021,589
6/2/2021,595
6/1/2021,598
5/28/2021,604
5/27/2021,605
5/26/2021,610
5/25/2021,614
5/24/2021,613
5/21/2021,615
5/20/2021,610
5/19/2021,606
5/18/2021,611
5/17/2021,610
5/14/2021,610
5/13/2021,610
5/12/2021,613
5/11/2021,606
5/10/2021,605
5/7/2021,607
5/6/2021,604
5/5/2021,604
5/4/2021,602
4/30/2021,606
4/29/2021,605
4/28/2021,604
4/27/2021,603
4/26/2021,603
4/23/2021,604
4/22/2021,605
4/21/2021,603
4/20/2021,600
4/19/2021,603
4/16/2021,605
4/15/2021,608
4/14/2021,612
4/13/2021,614
4/12/2021,629
4/9/2021,646
4/8/2021,658
4/7/2021,675
4/6/2021,685
4/1/2021,699
3/31/2021,710
3/30/2021,737
3/29/2021,765
3/26/2021,765
3/25/2021,748
3/24/2021,743
3/23/2021,747
3/22/2021,746
3/19/2021,748
3/18/2021,753
3/17/2021,746
3/16/2021,742
3/15/2021,727
3/12/2021,721
3/11/2021,720
3/10/2021,706
3/9/2021,696
3/8/2021,672
3/5/2021,666
3/4/2021,668
3/3/2021,667
3/2/2021,671
3/1/2021,668
2/26/2021,669
2/25/2021,669
2/24/2021,668
2/23/2021,663
2/22/2021,651
2/19/2021,639
2/18/2021,627
2/17/2021,602
2/16/2021,589
2/15/2021,550
2/12/2021,539
2/11/2021,519
2/10/2021,510
2/9/2021,497
2/8/2021,495
2/5/2021,496
2/4/2021,496
2/3/2021,497
2/2/2021,506
2/1/2021,515
1/29/2021,517
1/28/2021,521
1/27/2021,521
1/26/2021,520
1/25/2021,519
1/22/2021,512
1/21/2021,505
1/20/2021,498
1/19/2021,496
1/18/2021,492
1/15/2021,493
1/14/2021,496
1/13/2021,500
1/12/2021,505
1/11/2021,511
1/8/2021,520
1/7/2021,524
1/6/2021,533
1/5/2021,540
1/4/2021,543
12/24/2020,466
12/23/2020,466
12/22/2020,468
12/21/2020,461
12/18/2020,456
12/17/2020,453
12/16/2020,439
12/15/2020,435
12/14/2020,432
12/11/2020,431
12/10/2020,430
12/9/2020,435
12/8/2020,439
12/7/2020,440
12/4/2020,440
12/3/2020,445
12/2/2020,444
12/1/2020,455
11/30/2020,458
11/27/2020,455
11/26/2020,457
11/25/2020,451
11/24/2020,447
11/23/2020,437
11/20/2020,438
11/19/2020,437
11/18/2020,431
11/17/2020,432
11/16/2020,430
11/13/2020,425
11/12/2020,413
11/11/2020,407
11/10/2020,405
11/9/2020,403
11/6/2020,403
11/5/2020,405
11/4/2020,405
11/3/2020,405
11/2/2020,406
10/30/2020,411
10/29/2020,416
10/28/2020,422
10/27/2020,426
10/26/2020,425
10/23/2020,417
10/22/2020,421
10/21/2020,424
10/20/2020,423
10/19/2020,420
10/16/2020,417
10/15/2020,414
10/14/2020,412
10/13/2020,410
10/12/2020,410
10/9/2020,412
10/8/2020,417
10/7/2020,419
10/6/2020,424
10/5/2020,428
10/2/2020,429
10/1/2020,432
9/30/2020,435
9/29/2020,435
9/28/2020,436
9/25/2020,434
9/24/2020,434
9/23/2020,431
9/22/2020,433
9/21/2020,439
9/18/2020,441
9/17/2020,443
9/16/2020,448
9/15/2020,453
9/14/2020,456
9/11/2020,459
9/10/2020,450
9/9/2020,447
9/8/2020,446
9/7/2020,444
9/4/2020,446
9/3/2020,452
9/2/2020,457
9/1/2020,466
8/28/2020,474
8/27/2020,472
8/26/2020,473
8/25/2020,477
8/24/2020,480
8/21/2020,483
8/20/2020,488
8/19/2020,491
8/18/2020,490
8/17/2020,493
8/14/2020,498
8/13/2020,499
8/12/2020,500
8/11/2020,497
8/10/2020,503
8/7/2020,507
8/6/2020,507
8/5/2020,509
8/4/2020,506
8/3/2020,506
7/31/2020,506
7/30/2020,505
7/29/2020,506
7/28/2020,513
7/27/2020,516
7/24/2020,520
7/23/2020,530
7/22/2020,539
7/21/2020,541
7/20/2020,534
7/17/2020,520
7/16/2020,509
7/15/2020,491
7/14/2020,492
7/13/2020,499
7/10/2020,500
7/9/2020,498
7/8/2020,492
7/7/2020,487
7/6/2020,483
7/3/2020,471
7/2/2020,464
7/1/2020,464
6/30/2020,462
6/29/2020,465
6/26/2020,467
6/25/2020,466
6/24/2020,459
6/23/2020,473
6/22/2020,496
6/19/2020,509
6/18/2020,513
6/17/2020,524
6/16/2020,530
6/15/2020,545
6/12/2020,551
6/11/2020,559
6/10/2020,572
6/9/2020,577
6/8/2020,584
