Date,Last Price
12/31/2022,
12/30/2022,80.26
12/29/2022,78.4
12/28/2022,78.96
12/27/2022,79.53
12/23/2022,79.46
12/22/2022,77.36
12/21/2022,78.14
12/20/2022,76.09
12/19/2022,75.61
12/16/2022,74.29
12/15/2022,76.11
12/14/2022,77.28
12/13/2022,75.39
12/12/2022,73.17
12/9/2022,71.02
12/8/2022,71.46
12/7/2022,72.01
12/6/2022,74.25
12/5/2022,76.93
12/2/2022,79.98
12/1/2022,81.22
11/30/2022,80.55
11/29/2022,78.2
11/28/2022,77.24
11/23/2022,77.84
11/22/2022,80.9
11/21/2022,79.73
11/18/2022,80.08
11/17/2022,81.64
11/16/2022,85.59
11/15/2022,86.92
11/14/2022,85.87
11/11/2022,88.96
11/10/2022,86.47
11/9/2022,85.83
11/8/2022,88.91
11/7/2022,91.79
11/4/2022,92.61
11/3/2022,88.17
11/2/2022,90
11/1/2022,88.37
10/31/2022,86.53
10/28/2022,87.9
10/27/2022,89.08
10/26/2022,87.91
10/25/2022,86.82
10/24/2022,86.23
10/21/2022,86.65
10/20/2022,85.98
10/19/2022,85.55
10/18/2022,82.82
10/17/2022,85.46
10/14/2022,85.61
10/13/2022,89.11
10/12/2022,87.27
10/11/2022,89.35
10/10/2022,91.13
10/7/2022,92.64
10/6/2022,88.45
10/5/2022,87.76
10/4/2022,86.52
10/3/2022,83.63
9/30/2022,79.49
9/29/2022,81.23
9/28/2022,82.15
9/27/2022,78.5
9/26/2022,76.71
9/23/2022,79.24
9/22/2022,83.94
9/21/2022,83.44
9/20/2022,84.45
9/19/2022,85.73
9/16/2022,85.11
9/15/2022,85.1
9/14/2022,88.48
9/13/2022,87.31
9/12/2022,87.78
9/9/2022,86.79
9/8/2022,83.54
9/7/2022,81.94
9/6/2022,86.88
9/2/2022,86.87
9/1/2022,86.61
8/31/2022,89.55
8/30/2022,91.64
8/29/2022,97.01
8/26/2022,93.06
8/25/2022,93.02
8/24/2022,95.64
8/23/2022,94.39
8/22/2022,90.23
8/19/2022,90.77
8/18/2022,90.5
8/17/2022,88.11
8/16/2022,86.53
8/15/2022,89.41
8/12/2022,92.09
8/11/2022,94.34
8/10/2022,91.93
8/9/2022,90.5
8/8/2022,90.76
8/5/2022,89.01
8/4/2022,88.54
8/3/2022,90.66
8/2/2022,94.42
8/1/2022,93.89
7/29/2022,98.62
7/28/2022,96.42
7/27/2022,97.26
7/26/2022,94.98
7/25/2022,99.6
7/22/2022,97.95
7/21/2022,99.5
7/20/2022,102.26
7/19/2022,104.22
7/18/2022,102.6
7/15/2022,97.59
7/14/2022,95.78
7/13/2022,96.3
7/12/2022,95.84
7/11/2022,104.09
7/8/2022,104.79
7/7/2022,102.73
7/6/2022,98.53
7/5/2022,99.5
7/1/2022,108.43
6/30/2022,105.76
6/29/2022,109.78
6/28/2022,111.76
6/27/2022,109.57
6/24/2022,109.47
6/23/2022,106.12
6/22/2022,107.69
6/21/2022,110.65
6/17/2022,109.56
6/16/2022,117.58
6/15/2022,115.31
6/14/2022,118.93
6/13/2022,120.93
6/10/2022,120.67
6/9/2022,121.51
6/8/2022,122.11
6/7/2022,119.41
6/6/2022,118.5
6/3/2022,118.87
6/2/2022,116.87
6/1/2022,115.26
5/31/2022,114.67
5/27/2022,115.07
5/26/2022,114.09
5/25/2022,112.58
5/24/2022,112.02
5/23/2022,113.04
5/20/2022,113.23
5/19/2022,112.21
5/18/2022,109.59
5/17/2022,112.4
5/16/2022,114.2
5/13/2022,110.49
5/12/2022,106.13
5/11/2022,105.71
5/10/2022,99.76
5/9/2022,103.09
5/6/2022,109.77
5/5/2022,108.26
5/4/2022,107.81
5/3/2022,102.41
5/2/2022,105.17
4/29/2022,104.69
4/28/2022,105.36
4/27/2022,102.02
4/26/2022,101.7
4/25/2022,99.54
4/22/2022,103.07
4/21/2022,104.54
4/20/2022,102.75
4/19/2022,102.56
4/18/2022,108.21
4/14/2022,106.95
4/13/2022,104.25
4/12/2022,100.6
4/11/2022,94.29
4/8/2022,98.26
4/7/2022,96.03
4/6/2022,96.23
4/5/2022,101.96
4/4/2022,103.28
4/1/2022,99.27
3/31/2022,100.28
3/30/2022,107.82
3/29/2022,104.24
3/28/2022,105.96
3/25/2022,115.4
3/24/2022,114.34
3/23/2022,116.63
3/22/2022,111.76
3/21/2022,112.12
3/18/2022,104.7
3/17/2022,102.98
3/16/2022,95.04
3/15/2022,96.44
3/14/2022,103.01
3/11/2022,109.33
3/10/2022,106.02
3/9/2022,108.7
3/8/2022,123.7
3/7/2022,119.4
3/4/2022,115.68
3/3/2022,107.67
3/2/2022,110.6
3/1/2022,103.41
2/28/2022,95.72
2/25/2022,92.59
2/24/2022,93.41
2/23/2022,92.7
2/22/2022,92.35
2/18/2022,91.07
2/17/2022,91.76
2/16/2022,93.66
2/15/2022,92.07
2/14/2022,95.46
2/11/2022,93.1
2/10/2022,89.88
2/9/2022,89.66
2/8/2022,89.36
2/7/2022,91.32
2/4/2022,92.31
2/3/2022,90.27
2/2/2022,88.26
2/1/2022,88.2
1/31/2022,88.15
1/28/2022,86.82
1/27/2022,86.61
1/26/2022,87.35
1/25/2022,86.55
1/24/2022,84.11
1/21/2022,86.24
1/20/2022,86.9
1/19/2022,86.96
1/18/2022,85.43
1/14/2022,83.82
1/13/2022,82.12
1/12/2022,82.64
1/11/2022,81.22
1/10/2022,78.23
1/7/2022,78.9
1/6/2022,79.46
1/5/2022,77.85
1/4/2022,76.99
1/3/2022,76.08
12/30/2021,76.99
12/29/2021,76.56
12/28/2021,75.98
12/27/2021,75.57
12/23/2021,73.74
